,id,Airport Name,City,Country,IATA Code,ICAO Code,Latitude,Longitude,Altitude,UTC TimeZone,DST,Continent/State
6344,4263,Joslin Field Magic Valley Regional Airport,Twin Falls,United States,TWF,KTWF,42.4818,-114.487999,4154,-7,A,America/Denver
6345,4256,Lawton Fort Sill Regional Airport,Lawton,United States,LAW,KLAW,34.5676994,-98.4166031,1110,-6,A,America/Chicago
6346,4255,Columbus Metropolitan Airport,Columbus,United States,CSG,KCSG,32.5163002,-84.9389038,397,-5,A,America/New_York
6347,4257,Northern Colorado Regional Airport,Fort Collins,United States,FNL,KFNL,40.451804,-105.011,5016,-7,A,America/Denver
6348,4273,Golden Triangle Regional Airport,Columbus Mississippi,United States,GTR,KGTR,33.4502983,-88.5914001,264,-6,A,America/Chicago
6349,4271,St Cloud Regional Airport,Saint Cloud,United States,STC,KSTC,45.5466003,-94.0598984,1031,-6,A,America/Chicago
6350,5722,Bradford Regional Airport,Bradford,United States,BFD,KBFD,41.8031006,-78.6400986,2143,-5,A,America/New_York
6351,4268,Concord Municipal Airport,Concord NH,United States,CON,KCON,43.2027016,-71.5022965,342,-5,A,America/New_York
6352,4265,Martha's Vineyard Airport,Vineyard Haven MA,United States,MVY,KMVY,41.3931007,-70.6143036,67,-5,A,America/New_York
6353,4270,Groton New London Airport,Groton CT,United States,GON,KGON,41.330101,-72.0450974,9,-5,A,America/New_York
6354,4229,Stephens County Airport,Breckenridge,United States,BKD,KBKD,32.7190018,-98.8909988,1284,-6,A,America/Chicago
6355,4228,Las Cruces International Airport,Las Cruces,United States,LRU,KLRU,32.2893982,-106.921997,4456,-7,A,America/Denver
6356,4230,Draughon Miller Central Texas Regional Airport,Temple,United States,TPL,KTPL,31.1525002,-97.4077988,682,-6,A,America/Chicago
6357,4226,West Houston Airport,Houston,United States,IWS,KIWS,29.8181992,-95.6725998,111,-6,A,America/Chicago
6358,4225,Las Vegas Municipal Airport,Las Vegas,United States,LVS,KLVS,35.6542015,-105.141998,6877,-7,A,America/Denver
6359,4227,La Junta Municipal Airport,La Junta,United States,\N,KLHX,38.0497017,-103.509003,4229,-7,A,America/Denver
6360,12185,Tracy Municipal Airport,Tracy,United States,\N,KTCY,37.6889992,-121.442001,193,-8,A,\N
6361,4253,Cuyahoga County Airport,Richmond Heights,United States,CGF,KCGF,41.5651016,-81.4863968,879,-5,A,America/New_York
6362,4254,Mansfield Lahm Regional Airport,Mansfield,United States,MFD,KMFD,40.8213997,-82.5166016,1297,-5,A,America/New_York
6363,4231,Ozona Municipal Airport,Ozona,United States,OZA,KOZA,30.7353001,-101.203003,2381,-6,A,America/Chicago
6364,4250,Eagle County Regional Airport,Vail,United States,EGE,KEGE,39.642601,-106.917999,6548,-7,A,America/Denver
6365,4284,Morgantown Municipal Walter L. Bill Hart Field,Morgantown,United States,MGW,KMGW,39.6428986,-79.9162979,1248,-5,A,America/New_York
6366,12873,Jasper County Airport,Rensselaer,United States,RNZ,KRZL,40.9478989,-87.1826019,698,-5,A,\N
6367,4285,Yeager Airport,Charleston,United States,CRW,KCRW,38.3731003,-81.5932007,981,-5,A,America/New_York
6368,4280,Sedona Airport,Sedona,United States,SDX,KSEZ,34.8485985,-111.788002,4830,-7,A,America/Phoenix
6369,12796,Danielson Airport,Danielson,United States,\N,KLZD,41.8196983,-71.901001,238,-5,A,\N
6370,12856,Clearfield Lawrence Airport,Clearfield,United States,\N,KFIG,41.0485992,-78.4131012,1516,-5,A,\N
6371,4293,Charles B. Wheeler Downtown Airport,Kansas City,United States,MKC,KMKC,39.1231995,-94.5927963,759,-6,A,America/Chicago
6372,4292,Hector International Airport,Fargo,United States,FAR,KFAR,46.9207001,-96.8158035,902,-6,A,America/Chicago
6373,4296,Gillette Campbell County Airport,Gillette,United States,GCC,KGCC,44.3488998,-105.539001,4365,-7,A,America/Denver
6374,4286,Wilkes Barre Scranton International Airport,Scranton,United States,AVP,KAVP,41.338501,-75.7233963,962,-5,A,America/New_York
6375,4287,Bemidji Regional Airport,Bemidji,United States,BJI,KBJI,47.5093994,-94.9337006,1391,-6,A,America/Chicago
6376,4276,Erie International Tom Ridge Field,Erie,United States,ERI,KERI,42.083127,-80.1738667,732,-5,A,America/New_York
6377,12528,Skagit Regional Airport,Skagit,United States,MVW,KBVS,48.4709015,-122.420998,144,-8,A,\N
6378,5753,Lynchburg Regional Preston Glenn Field,Lynchburg,United States,LYH,KLYH,37.3266983,-79.2004013,938,-5,A,America/New_York
6379,12469,Bolton Field,Columbus,United States,\N,KTZR,39.9011993,-83.1369019,905,4,A,\N
6380,5721,Watertown Regional Airport,Watertown,United States,ATY,KATY,44.9140015,-97.1547012,1749,-6,A,America/Chicago
6381,4275,Bowerman Airport,Hoquiam,United States,HQM,KHQM,46.971199,-123.936996,18,-8,A,America/Los_Angeles
6382,12675,Pryor Field Regional Airport,Decatur,United States,DCU,KDCU,34.6526985,-86.9453964,592,-6,A,\N
6383,12673,Evergreen Regional Airport/Middleton Field,Evergreen,United States,\N,KGZH,31.4158,-87.043999,259,-6,A,\N
6384,12676,Glasgow Municipal Airport,Glasgow,United States,GLW,KGLW,37.0317993,-85.9536972,716,-6,A,\N
6385,4278,Barnstable Municipal Boardman Polando Field,Barnstable,United States,HYA,KHYA,41.6693001,-70.2804031,54,-5,A,America/New_York
6386,12672,Marion County Brown Field,Jasper,United States,APT,KAPT,35.060699,-85.585297,641,-5,A,\N
6387,4084,Telluride Regional Airport,Telluride,United States,TEX,KTEX,37.9538002,-107.907997,9070,-7,A,America/Denver
6388,4083,Bismarck Municipal Airport,Bismarck,United States,BIS,KBIS,46.7727013,-100.746002,1661,-6,A,America/Chicago
6389,4087,Rapid City Regional Airport,Rapid City,United States,RAP,KRAP,44.0452995,-103.056999,3204,-7,A,America/Denver
6390,4073,Panama City-Bay Co International Airport,Panama City,United States,PFN,KPFN,30.212099,-85.6828,20,-6,A,America/Chicago
6391,4072,Quad City International Airport,Moline,United States,MLI,KMLI,41.4485016,-90.5074997,590,-6,A,America/Chicago
6392,5723,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,United States,BFF,KBFF,41.8740006,-103.596001,3967,-7,A,America/Denver
6393,4100,Idaho Falls Regional Airport,Idaho Falls,United States,IDA,KIDA,43.514599,-112.070999,4744,-7,A,America/Denver
6394,4099,Mahlon Sweet Field,Eugene,United States,EUG,KEUG,44.1245995,-123.211998,374,-8,A,America/Los_Angeles
6395,4101,Rogue Valley International Medford Airport,Medford,United States,MFR,KMFR,42.3741989,-122.873001,1335,-8,A,America/Los_Angeles
6396,4089,Bishop International Airport,Flint,United States,FNT,KFNT,42.9654007,-83.7435989,782,-5,A,America/New_York
6397,4088,Mc Clellan-Palomar Airport,Carlsbad,United States,CLD,KCRQ,33.1282997,-117.279999,331,-8,A,America/Los_Angeles
6398,4098,Redding Municipal Airport,Redding,United States,RDD,KRDD,40.5089989,-122.292999,505,-8,A,America/Los_Angeles
6399,4058,Venango Regional Airport,Franklin,United States,FKL,KFKL,41.3778992,-79.8603973,1540,-5,A,America/New_York
6400,4050,Manhattan Regional Airport,Manhattan,United States,MHK,KMHK,39.1409988,-96.6707993,1057,-6,A,America/Chicago
6401,4063,Grand Junction Regional Airport,Grand Junction,United States,GJT,KGJT,39.1223984,-108.527,4858,-7,A,America/Denver
